,Experiment_Acc.x,Library_Acc.x,File_Acc,Avg_Score,R0_Count,R1_Count,Enrichment,life_stage_age,perturbed,lab,biosample_class,developmental_slims,system_slims,organ_slims,cell_slims,Antibody,Biosample,Library_Acc.y,Experiment_Acc.y,Correlation,cluster,corr_motif1,corr_motif2
1,ENCSR230ORT,ENCLB601XIH,ENCFF044PFA,-3307.08997139165,453,547,1.2075055187638,adult 54 years,False,/labs/bradley-bernstein/,tissue,"['endoderm', 'mesoderm']",,['prostate gland'],[],ENCAB000AXX,ENCBS633UTQ,ENCLB601XIH,ENCSR230ORT,-0.0070042737459724,1,-0.039972,-0.072038
2,ENCSR230ORT,ENCLB140POX,ENCFF024RGC,-3290.07355837255,374,626,1.67379679144385,adult 54 years,False,/labs/bradley-bernstein/,tissue,"['endoderm', 'mesoderm']",,['prostate gland'],[],ENCAB000AXX,ENCBS619YXY,ENCLB140POX,ENCSR230ORT,0.74959373565315,1,0.668494,0.730601
3,ENCSR230ORT,ENCLB140POX,ENCFF641QWF,-3289.67939170715,377,624,1.6551724137931,adult 54 years,False,/labs/bradley-bernstein/,tissue,"['endoderm', 'mesoderm']",,['prostate gland'],[],ENCAB000AXX,ENCBS619YXY,ENCLB140POX,ENCSR230ORT,0.311142163659585,1,0.923618,0.039039
4,ENCSR000ANE,ENCLB695ALS,ENCFF000BKS,-3338.53301311254,476,528,1.10924369747899,adult 22 years,False,/labs/bradley-bernstein/,primary cell,['mesoderm'],,['musculature of body'],"['embryonic cell', 'myoblast']",ENCAB000AXY,ENCBS914GNL,ENCLB695ALS,ENCSR000ANE,-0.480852379850341,1,-0.02659,0.71994
5,ENCSR542SCB,ENCLB019YTQ,ENCFF851HMF,-3294.54687334293,462,538,1.16450216450216,adult 51 years,False,/labs/bradley-bernstein/,tissue,"['mesoderm', 'endoderm']",,"['intestine', 'lymphoid tissue']",[],ENCAB719MQZ,ENCBS654VYQ,ENCLB019YTQ,ENCSR542SCB,0.721760191521838,1,0.723716,0.695165
6,ENCSR542SCB,ENCLB068BME,ENCFF193FLJ,-3293.02689307074,457,543,1.18818380743982,adult 51 years,False,/labs/bradley-bernstein/,tissue,"['mesoderm', 'endoderm']",,"['intestine', 'lymphoid tissue']",[],ENCAB719MQZ,ENCBS654VYQ,ENCLB068BME,ENCSR542SCB,0.785014138526155,1,0.017426,0.66344
7,ENCSR542SCB,ENCLB068BME,ENCFF411BGX,-3295.85172817499,462,538,1.16450216450216,adult 51 years,False,/labs/bradley-bernstein/,tissue,"['mesoderm', 'endoderm']",,"['intestine', 'lymphoid tissue']",[],ENCAB719MQZ,ENCBS654VYQ,ENCLB068BME,ENCSR542SCB,0.200645894122068,1,0.7163,0.675874
8,ENCSR385CDF,ENCLB032MQG,ENCFF078KRC,-3356.62965816644,357,645,1.80672268907563,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS981HND,ENCLB032MQG,ENCSR385CDF,0.171947084008461,1,0.92351,0.289152
9,ENCSR385CDF,ENCLB707IVN,ENCFF355ZNL,-3339.92539666184,280,721,2.575,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS981HND,ENCLB707IVN,ENCSR385CDF,0.17614601792679,1,0.921702,0.169623
10,ENCSR385CDF,ENCLB707IVN,ENCFF282QIK,-3342.07995093329,297,704,2.37037037037037,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS981HND,ENCLB707IVN,ENCSR385CDF,0.178148774831133,1,0.926518,0.141265
11,ENCSR385CDF,ENCLB707IVN,ENCFF989TFU,-3342.50510817721,292,709,2.42808219178082,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS981HND,ENCLB707IVN,ENCSR385CDF,0.177378823926843,1,0.929354,0.169885
12,ENCSR385CDF,ENCLB707IVN,ENCFF679VJJ,-3339.0595056972,277,725,2.6173285198556,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS981HND,ENCLB707IVN,ENCSR385CDF,0.16928050106768,1,0.923103,0.114062
13,ENCSR799TJD,ENCLB327NNR,ENCFF401LZJ,-3292.42493270768,338,662,1.9585798816568,adult 51 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['lung'],[],ENCAB000AXX,ENCBS939RMD,ENCLB327NNR,ENCSR799TJD,0.717009033799198,1,-0.327793,0.936385
14,ENCSR799TJD,ENCLB327NNR,ENCFF256WLC,-3287.53650142347,321,679,2.11526479750779,adult 51 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['lung'],[],ENCAB000AXX,ENCBS939RMD,ENCLB327NNR,ENCSR799TJD,0.708676143908028,1,0.759484,0.719689
15,ENCSR000DWY,ENCLB752ZEB,ENCFF001HWA,-3330.04822326567,180,823,4.57222222222222,adult 45 years,False,/labs/john-stamatoyannopoulos/,primary cell,['endoderm'],,"['connective tissue', 'lung']","['connective tissue cell', 'fibroblast']",ENCAB000AFP,ENCBS936GPP,ENCLB752ZEB,ENCSR000DWY,0.886551502480769,1,0.885865,0.279039
16,ENCSR466TNQ,ENCLB787MRS,ENCFF243VFT,-3316.44804477731,279,721,2.584229390681,adult 61 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,"['spleen', 'immune organ']",[],ENCAB719MQZ,ENCBS193VFU,ENCLB787MRS,ENCSR466TNQ,0.738002195427135,1,0.0,0.0
17,ENCSR000BQE,ENCLB559JDP,ENCFF000NKZ,-3355.662283163,357,643,1.80112044817927,adult 39 years,True,/labs/richard-myers/,cell line,[],,['uterus'],['cancer cell'],ENCAB000AFR,ENCBS312UTV,ENCLB559JDP,ENCSR000BQE,0.26422226981969,1,-0.022683,0.943194
18,ENCSR671ITY,ENCLB526UOI,ENCFF631WSI,-3294.77455573378,164,839,5.11585365853659,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.140344926264775,1,0.943392,-0.090446
19,ENCSR671ITY,ENCLB526UOI,ENCFF309XGI,-3294.7878208974,169,833,4.92899408284024,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.140761167507459,1,0.946114,0.129453
20,ENCSR671ITY,ENCLB526UOI,ENCFF186MIP,-3295.6325145475,168,836,4.97619047619048,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.143005603551647,1,0.941109,0.067294
21,ENCSR671ITY,ENCLB526UOI,ENCFF895PXF,-3296.00837707241,166,840,5.06024096385542,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.140929741351291,1,0.940545,0.13631
